Emp_ID,Name,Sex,DOB,Age,Join_Date,Tenure,Gross_Pay,Net_Pay,Deductions,Deduction_perc,Role,Dept
22770,'Chadwick Mcclure',M,09/04/1986,34,31/10/2019,8,312416.25,110863.75,201552.5,64.51,'Software Engineer.Senior II.','GSS EPIC Engineering (HC COGS)'
22771,'Eldon Reeves',M,15/02/1984,36,31/10/2019,8,203333.75,102620,100713.75,49.53,'Software Development Engineer in Test.Senior.','Storage Engineering'
22772,'Jackie Fernandez',M,02/08/1994,25,31/10/2019,8,154958.75,139926.25,15032.5,9.7,'Software Engineer II..','DPM Engineering'
22782,'Deandre Francis',M,02/12/1987,32,04/11/2019,8,243892.5,168386.25,75506.25,30.96,'Software Engineer.Senior.','Enterprise Applications'
22783,'Brent Cannon',M,13/07/1982,38,04/11/2019,8,330136.25,218177.5,111958.75,33.91,'Support Delivery Manager..','AmaTec - SDM'
22784,'Bradley Jarvis',M,20/06/1989,31,04/11/2019,8,139488.75,131846.25,7642.5,5.48,'Global Corporate Card Specialist.Senior.','Global Procurement'
22785,'Raphael Oconnor',M,08/12/1980,39,04/11/2019,8,315435,265188.75,50246.25,15.93,'Manager.Senior.Financial Operations','Finance - Customer Revenue Operations GA'
22787,'Nikki Schroeder',F,18/05/1994,26,04/11/2019,8,105552,99634,5918,5.61,'Technical Solutions Engineer..','AmaTec - Americas TSE'
22788,'Herman Hester',M,09/09/1982,37,04/11/2019,8,219416.25,175253.75,44162.5,20.13,'Business Operations Analyst.Senior.','Web Division Sales Ops'
22789,'Allan Shah',M,11/12/1993,26,04/11/2019,8,100165,94367.5,5797.5,5.79,'Platform Operations Engineer.Associate.','Platform Operations'
22790,'Sasha Hammond',F,02/04/1995,25,04/11/2019,8,65856,60912,4944,7.51,'Account Service Manager..','EMEA - AMG'
22792,'Richie Branch',M,18/09/1990,29,04/11/2019,8,126667.5,117905,8762.5,6.92,'Platform Operations Engineer..','Platform Operations'
22793,'Lon Howe',M,22/08/1991,28,04/11/2019,8,118867.5,110248.75,8618.75,7.25,'Platform Operations Engineer..','Platform Operations'
22799,'Susanne Zhang',F,13/09/1995,24,07/11/2019,8,112067,104339,7728,6.9,'Software Engineer II..','Media Delivery Product Engineering'
22804,'Harland Murray',M,02/06/1982,38,07/11/2019,8,556583.75,380458.75,176125,31.64,Manager.Senior.Engineering,'GSS EPIC Engineering (HC COGS)'
22808,'Reid Gonzales',M,23/07/1991,28,07/11/2019,8,121367.5,112713.75,8653.75,7.13,'Platform Operations Engineer..','Platform Operations'
22814,'Leslie Ponce',M,16/03/1988,32,11/11/2019,8,182100,154176.25,27923.75,15.33,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
22815,'Jaime Maldonado',F,07/09/1996,23,11/11/2019,8,122200,115742,6458,5.28,'Software Engineer..','Enterprise Networks'
22816,'Damian Molina',M,23/08/1990,29,11/11/2019,8,269000,209481.25,59518.75,22.13,'Software Engineer.Senior.','Security Engineering'
22820,'Carrol Serrano',M,23/09/1993,26,11/11/2019,8,213250,153435,59815,28.05,'Software Engineer II..','Media Portal'
22821,'Gilberto Obrien',M,25/03/1991,29,11/11/2019,8,243892.5,164271.25,79621.25,32.65,'Software Engineer.Senior.','Enterprise Networks'
22836,'Tristan Padilla',M,10/03/1991,29,18/11/2019,7,149440,143317.5,6122.5,4.1,'Technical Solutions Engineer..','AmaTec - Americas TSE'
22838,'Carlos Reilly',M,12/06/1991,29,18/11/2019,7,270333.75,192226.25,78107.5,28.89,'Software Development Engineer in Test.Senior.','Security Engineering'
22842,'Chang Small',M,05/02/1994,26,18/11/2019,7,153750,145908.75,7841.25,5.1,'Release Engineer II..','Media Services Engineering'
22843,'Bruce Stout',M,05/02/1991,29,18/11/2019,7,252916.25,179800,73116.25,28.91,'Software Engineer.Senior.','Enterprise Access Engineering'
22844,'Eli Gibbs',M,18/04/1992,28,18/11/2019,7,229333.75,192861.25,36472.5,15.9,'System Operations Engineer.Senior.','Enterprise Access Engineering'
22845,'Beau Bryant',M,24/07/1987,32,18/11/2019,7,226502.5,159715,66787.5,29.49,'Business Systems Analyst.Senior II.','Corporate Systems'
22846,'Trinidad Montoya',M,01/01/1990,30,18/11/2019,7,252916.25,155876.25,97040,38.37,'Q/A Engineer.Senior.','Enterprise Networks'
22849,'Carmela Hatfield',F,26/11/1993,26,21/11/2019,7,93185,70800,22385,24.02,'Technical Solutions Engineer..','AmaTec - Americas TSE'
22859,'Carlton Ochoa',M,28/05/1989,31,21/11/2019,7,243000,177493.75,65506.25,26.96,'Software Engineer.Senior.','Media Analytics'
22864,'Willard Morrison',M,10/06/1990,30,25/11/2019,7,144107.5,135737.5,8370,5.81,'Technical Solutions Engineer..','AmaTec - Americas TSE'
22865,'Lilly Hoffman',F,01/11/1993,26,25/11/2019,7,111591,105427,6164,5.52,'Program Manager..','GSS Global Programs'
22866,'Rachael Rosario',F,12/04/1993,27,25/11/2019,7,151337,135148,16189,10.7,'Solutions Architect II..','Service Delivery DPM'
22867,'Victor Ayala',M,19/09/1994,25,25/11/2019,7,170906.25,129023.75,41882.5,24.51,'Software Engineer II..','Enterprise Applications'
22901,'Francisco Leon',M,17/01/1989,31,02/12/2019,7,323646.25,273602.5,50043.75,15.46,'Site Reliability Engineer.Senior.','Security Engineering'
22902,'Javier Lowery',M,30/06/1985,35,02/12/2019,7,358108.75,317902.5,40206.25,11.23,'Infrastructure Delivery Manager..','Networks - APJ Infrastructure'
22903,'Wanda Mckenzie',F,27/04/1993,27,02/12/2019,7,112067,105317,6750,6.02,'Business Operations Analyst II..','Marketing Data Analytics'
22905,'Justin Drake',M,21/05/1992,28,02/12/2019,7,157243.75,150785,6458.75,4.11,'Systems Support Engineer..','Networks - Productivity - Systems'
22907,'Dianne Williams',F,01/06/1993,27,02/12/2019,7,88267,82717,5550,6.29,'Platform Operations Engineer..','Platform Operations'
22910,'Regina Holloway',F,09/10/1991,28,05/12/2019,7,249200,244000,5200,2.09,'Release Engineer II..','Enterprise Access Engineering'
22922,'Liza Raymond',F,27/08/1993,26,09/12/2019,7,363633,307365,56268,15.47,'Software Engineer.Senior.','Media Portal'
22950,'Clyde Franklin',M,12/01/1991,29,16/12/2019,6,556343.75,539663.75,16680,3,'Software Engineer II..','Platform Mapping Engineering'
22951,'Brett Mayo',M,03/12/1988,31,12/12/2019,7,132131.25,124846.25,7285,5.51,'Business Operations Analyst II..','Web Strategy'
22956,'Darrin Guzman',M,16/09/1991,28,16/12/2019,6,303685,295312.5,8372.5,2.76,'Network Administrator..','Enterprise Infrastructure Services'
22957,'Ruben Ayers',M,28/01/1985,35,12/12/2019,7,329545,260910,68635,20.83,'Program Manager.Senior.Technical','Networks - Planning'
22971,'Celeste Stanton',F,20/01/1986,34,19/12/2019,6,187213,177145,10068,5.38,'Software Development Engineer in Test II..','APJ Security Services'
22973,'Clifton Alvarado',M,28/10/1992,27,19/12/2019,6,269203.75,254813.75,14390,5.35,'Applications Developer II..','Corporate Systems'
22974,'Gustavo Casey',M,29/05/1993,27,19/12/2019,6,95412.5,90378.75,5033.75,5.28,'Account Service Manager..','Americas- AMG'
22984,'Vonda Wood',F,16/02/1982,38,23/12/2019,6,249344,235835,13509,5.42,'Software Engineer.Senior.','Corporate Systems'
22986,'Luther Glenn',M,21/10/1990,29,23/12/2019,6,523233.75,508756.25,14477.5,2.77,'Technical Project Manager II..','APJ Security Services'
22987,'Deshawn Roberts',M,17/10/1989,30,23/12/2019,6,179985,169822.5,10162.5,5.65,'Systems Administrator..Windows','Enterprise Infrastructure Services'
22988,'Hong Underwood',M,08/09/1986,33,23/12/2019,6,371408.75,352001.25,19407.5,5.23,'Support Delivery Manager..','AmaTec - SDM'
22996,'Alonso Abbott',M,18/06/1995,25,23/12/2019,6,150298.75,142292.5,8006.25,5.33,'Technical Solutions Engineer..','AmaTec - Americas TSE'
22998,'Scottie Avery',M,03/07/1988,32,23/12/2019,6,374197.5,355302.5,18895,5.05,'Systems Engineer.Senior.','Enterprise Infrastructure Services'
22999,'Juanita Gross',F,07/02/1992,28,23/12/2019,6,150035,143798,6237,4.16,'Business Operations Analyst..','Web Division Sales Ops'
23000,'Katina Duran',F,11/08/1991,28,23/12/2019,6,195785,184961,10824,5.53,'Software Development Engineer in Test.Senior.','Enterprise Access Engineering'
23001,'Marisol Hood',F,16/10/1996,23,23/12/2019,6,92714,87187,5527,5.96,'Contract/Billing Analyst..','Finance - Customer Revenue Operations GA'
23022,'Gracie Shelton',F,13/04/1991,29,06/01/2020,6,113126,107113,6013,5.32,'Software Engineer II..','App Architecture  Integration Services'
23023,'Anderson Larson',M,12/02/1988,32,06/01/2020,6,290785,275475,15310,5.27,'Solutions Architect.Senior.','APJ Security Services'
23025,'Xavier Petty',M,01/06/1993,27,06/01/2020,6,154108.75,145750,8358.75,5.42,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
23026,'Dominique Lozano',F,28/05/1991,29,06/01/2020,6,161500,153110,8390,5.2,'Software Engineer.Senior.','Media Portal'
23029,'Trevor Castaneda',M,13/10/1995,24,06/01/2020,6,152836.25,144572.5,8263.75,5.41,'Systems Engineer II..','Developer Productivity'
23030,'Tracy Diaz',M,17/07/1992,27,06/01/2020,6,133256.25,125978.75,7277.5,5.46,'Software Engineer II..','Enterprise Applications'
23031,'Jillian Hampton',F,04/03/1994,26,06/01/2020,6,84317,79735,4582,5.43,'Solutions Architect..','APJ Security Services'
23032,'Howard Pittman',M,11/02/1997,23,06/01/2020,6,75903.75,71473.75,4430,5.84,'Media Operations Engineer.Associate.','AmaTEC - BOCC/ESG'
23033,'Stacie Ellis',F,07/08/1995,24,06/01/2020,6,60723,57216,3507,5.78,'Media Operations Engineer.Associate.','AmaTEC - BOCC/ESG'
23035,'Lenore Blake',F,12/09/1993,26,06/01/2020,6,154048,145909,8139,5.28,'Software Engineer.Senior.','GSS EPIC Product Management and Marketing'
23036,'Rueben Zuniga',M,06/05/1994,26,06/01/2020,6,75903.75,71207.5,4696.25,6.19,'Media Operations Engineer.Associate.','AmaTEC - BOCC/ESG'
23037,'Clement Ochoa',M,26/04/1984,36,06/01/2020,6,416492.5,395077.5,21415,5.14,'Product Manager.Senior.','Enterprise Product Management'
23039,'Byron Brady',M,01/12/1993,26,09/01/2020,6,86422.5,81800,4622.5,5.35,'Technical Solutions Engineer..','AmaTec - APJ TSE'
23047,'Chung Morgan',M,31/03/1991,29,13/01/2020,6,140922.5,133380,7542.5,5.35,'Solutions Architect II..','APJ Security Services'
23048,'Bruno Stuart',M,19/09/1984,35,13/01/2020,6,195626.25,185382.5,10243.75,5.24,'Systems Engineer.Senior.','Developer Productivity'
23049,'Dylan Faulkner',M,05/07/1995,25,13/01/2020,6,55468.75,52351.25,3117.5,5.62,'Media Operations Engineer.Associate.','AmaTEC - BOCC/ESG'
23053,'Cindy Franklin',F,06/12/1993,26,13/01/2020,6,44375,41819,2556,5.76,'Media Operations Engineer.Associate.','AmaTEC - BOCC/ESG'
23062,'Geoffrey Benton',M,29/11/1989,30,13/01/2020,6,89243.75,84658.75,4585,5.14,'Network Administrator II..','Enterprise Infrastructure Services'
4074,'Demarcus Carney',M,16/12/1981,38,24/10/2019,8,316591.25,209165,107426.25,33.93,'Finance Systems Analyst.Senior Lead.','Financial Planning and Analysis'
10705,'Edgardo Sanford',M,31/05/1988,32,03/07/2014,72,139933.75,97638.75,42295,30.23,'Order Analyst.Senior.','Finance - Customer Revenue Operations GA'
20196,'Abram Huynh',M,03/01/1995,25,01/07/2019,12,320,320,0,0,'Platform Operations Engineer.Associate.','Platform Operations'
16812,'Micheal Washington',M,30/09/1988,31,17/10/2016,44,4872.5,4872.5,0,0,'Security Operations Center Specialist.Senior II.','APJ Security Services - SOCC'
15342,'Quentin Holmes',M,04/07/1989,31,19/11/2015,55,455171.25,382776.25,72395,15.91,'Solutions Architect.Senior.','APJ Security Services'
21116,'Clair Reeves',M,02/03/1988,32,15/11/2018,20,299946.25,237121.25,62825,20.95,'Technical Project Manager II..','Web Americas - ECG'
6869,'Karyn Miles',F,10/06/1988,32,01/03/2012,100,115843,113844,1999,1.73,'Technical Account Manager.Senior.','Acquisitions - ECG IAE Pre-Sales'
19360,'Cathy Stevens',F,21/11/1979,40,23/10/2017,32,31906,31706,200,0.63,'Relationship Manager.Senior.','Web Americas Inside Sales East'
8092,'Susie Berger',F,23/12/1982,37,04/02/2013,89,298183,295901,2282,0.77,'Instructional Designer.Senior.','Learning  Development'
16457,'Iris Middleton',F,01/03/1990,30,18/07/2016,47,167190,137220,29970,17.93,'Contract/Billing Analyst II..','Finance - Customer Revenue Operations GA'
17057,'Isreal Maddox',M,05/11/1991,28,19/12/2016,42,74445,71383.75,3061.25,4.11,'User Interface Engineer II..','GSS EPIC Engineering (HC COGS)'
21711,'Summer Henderson',F,14/01/1988,32,22/04/2019,14,118734,117373,1361,1.15,'Contract/Billing Analyst..','Finance - Customer Revenue Operations GA'
4231,'Joe Moses',M,02/05/1986,34,13/02/2017,41,342827.5,233926.25,108901.25,31.77,'Client Service Manager.Senior II.','Americas- AMG'
18100,'Teri Shaw',F,21/06/1995,25,18/05/2017,37,699,699,0,0,'Software Engineer II..','Enterprise Networks'
17264,'Mckinley Sullivan',M,03/09/1986,33,30/01/2017,41,284205,193273.75,90931.25,31.99,'Software Development Engineer in Test.Senior II.','Media Experience SQA'
14435,'Lavern Santos',M,27/04/1990,30,15/06/2015,61,134331.25,102735,31596.25,23.52,'Collections Specialist.Senior.','Finance - Customer Revenue Operations GA'
9846,'Patrica Walton',F,22/09/1984,35,03/02/2014,77,247721,169930,77791,31.4,Manager..Engineering,'Enterprise Applications'
15056,'Milan Barnett',M,23/09/1986,33,28/09/2015,57,360746.25,208125,152621.25,42.31,'Software Engineer.Senior II Lead.','Media Analytics'
22428,'Roman Gonzales',M,10/01/1988,32,05/09/2019,10,281396.25,190931.25,90465,32.15,'Business Systems Analyst.Senior II Lead.','Corporate Systems'
9848,'June Nolan',F,29/01/1987,33,01/08/2019,11,198049,140603,57446,29.01,'Program Manager.Senior.','Service Delivery Americas Web'
19560,'Ashlee Rose',F,31/01/1992,28,27/11/2017,31,86609,72146,14463,16.7,'Q/A Engineer II..','IT DevOps'
20362,'Paris Ewing',M,11/04/1986,34,11/06/2018,25,167091.25,133831.25,33260,19.91,'Technical Account Manager..','Acquisitions - ECG IAE Pre-Sales'
9470,'Vicente Garrison',M,20/07/1991,28,01/09/2014,70,132076.25,90401.25,41675,31.55,'Marketing Program Specialist..','Media APJ Field Marketing'
16093,'Randell Rosales',M,12/02/1990,30,26/05/2016,49,186217.5,102698.75,83518.75,44.85,'Solutions Architect II..','GSS EPIC Product Evaluation'
20429,'Ronnie Davis',M,17/03/1980,40,25/06/2018,24,379850,262563.75,117286.25,30.88,'Software Development Engineer in Test.Senior II Lead.','Dynamic Media SQA'
10045,'Catalina Tran',F,24/12/1981,38,20/03/2014,75,124469,87881,36588,29.4,'Channel Support Manager..','Global Channel - Programs Support'
10167,'Orlando Salas',M,19/12/1984,35,21/04/2014,74,377006.25,213872.5,163133.75,43.27,'Software Engineer.Senior II Lead.','Enterprise Networks'
15859,'Rick Morse',M,31/08/1984,35,02/05/2016,50,418936.25,212707.5,206228.75,49.23,'Performance Engineer.Senior II.',Technology
19197,'Keith Lopez',M,09/06/1988,32,16/10/2017,32,135778.75,118941.25,16837.5,12.4,'Program Manager..Technical','Service Delivery EMEA'
18246,'Eduardo Brewer',,01/07/1987,33,01/06/2017,37,219167,84064,135103,61.64,'Software Development Engineer in Test.Senior II.','LUNA/OPEN Engineering'
18464,'Barton Estrada',,25/06/1990,30,29/06/2017,36,100874,84620,16254,16.11,'Business Operations Analyst..','Finance - Customer Revenue Operations SM'
9712,'Casey Poole',,30/04/1983,37,02/01/2014,78,143647,118950,24697,17.19,'Client Service Manager.Senior II.','EMEA - AMG'
10120,'Terrance Colon',,04/01/1987,33,07/04/2014,75,167374,143350,24024,14.35,'Software Engineer.Senior.','Corporate Systems'
16119,'Anibal Pham',,20/08/1991,28,30/05/2016,49,98453,77119,21334,21.67,'Security Analyst.Senior.','Enterprise Architecture and Security'
7860,'Kermit Reilly',,06/10/1988,31,02/12/2013,79,203252,127909,75343,37.07,'Platform Operations Engineer.Senior.','Platform Operations'
14328,'Billy Galloway',,21/02/1987,33,28/05/2015,61,239817,140110,99707,41.58,'Software Engineer.Senior II.','Media Delivery Product Engineering'
16071,'Timmy Poole',,26/08/1992,27,23/05/2016,49,146181,85642,60539,41.41,'Software Engineer.Senior.','Enterprise Center'
18884,'Allan Carr',,22/12/1988,31,28/08/2017,34,132569,116172,16397,12.37,'Solutions Architect..','APJ Security Services'
15827,'Cristobal Howe',,23/05/1984,36,02/03/2017,40,203731,120787,82944,40.71,'Q/A Engineer.Senior II.','IT DevOps'
18896,'Anton Wang',,15/07/1992,28,31/08/2017,34,138934,114656,24278,17.47,'Systems Support Engineer.Senior.','IT DevOps'
10009,'Robbie Anthony',,13/12/1980,39,13/03/2014,76,124896,104439,20457,16.38,'Client Service Manager.Senior.','Americas- AMG'
14900,'Bret Rubio',,25/04/1983,37,03/09/2015,58,215116,138894,76222,35.43,'Software Development Engineer in Test.Senior II.','Security Engineering'
15340,'Jamie Good',,19/01/1987,33,19/11/2015,55,265121,157839,107282,40.47,'Software Engineer.Senior II.','Media Reliability Engineering'
10343,'Elwood Cantu',M,12/03/1987,33,12/05/2014,74,217736.25,147045,70691.25,32.47,'Q/A Engineer.Senior II.','IT DevOps'
18590,'Fernando Baldwin',M,25/06/1985,35,13/07/2017,36,214910,136892.5,78017.5,36.3,'Software Engineer.Senior.','Corporate Systems'
9727,'Hershel Simon',M,12/07/1982,38,09/01/2014,78,390550,266482.5,124067.5,31.77,Manager..Engineering,'Developer Productivity'
10411,'Jackie Castaneda',M,13/01/1985,35,19/05/2014,73,347773.75,213535,134238.75,38.6,'Software Development Engineer in Test.Senior II Lead.','LUNA/OPEN Engineering'
10137,'Pat Crosby',F,12/01/1983,37,10/04/2014,75,118803,63761,55042,46.33,'Collections Specialist.Senior.','Finance - Customer Revenue Operations GA'
9904,'Van Cabrera',M,15/07/1980,40,17/02/2014,76,335417.5,217180,118237.5,35.25,'Manager..Q/A Engineering','IT DevOps'
15293,'Gus Stanley',M,04/09/1990,29,05/11/2015,56,194492.5,133143.75,61348.75,31.54,'Network Infrastructure Engineer II..','Networks - EMEA Infrastructure'
15091,'Sebastian Oneill',M,04/09/1991,28,04/11/2019,8,204027.5,175456.25,28571.25,14,'Solutions Architect II..','Service Delivery APJ'
9793,'Kermit Mata',M,30/03/1982,38,16/01/2014,77,401196.25,255472.5,145723.75,36.32,Manager..Engineering,'GSS EPIC Engineering (HC COGS)'
10290,'Emmitt Blankenship',M,06/10/1980,39,05/05/2014,74,473798.75,246560,227238.75,47.96,'Manager..Program Management Technical','Program Management'
14829,'Lon Peters',M,19/04/1979,41,17/08/2015,58,297257.5,191225,106032.5,35.67,'Supervisor..Help Desk','Enterprise Infrastructure Services'
18102,'Bart Huerta',M,06/05/1987,33,18/05/2017,37,313940,179182.5,134757.5,42.92,'Software Engineer.Senior II.','LUNA/OPEN Engineering'
22552,'Eric Mckee',M,08/06/1990,30,16/09/2019,9,143238.75,96768.75,46470,32.44,'Systems Support Engineer II..','Developer Productivity'
11930,'Rory Bautista',M,05/12/1986,33,29/01/2015,65,133811.25,85626.25,48185,36.01,'Corporate Services Specialist.Senior Lead.','Global Real Estate and Workplace Productivity'
19090,'Jeff Anthony',M,10/02/1989,31,28/09/2017,33,228005,89775,138230,60.63,'Business Systems Analyst.Senior II.','Corporate Systems'
17381,'Forrest Petersen',M,07/06/1991,29,23/02/2017,40,190175,151750,38425,20.21,'Solutions Architect II..','GSS EPIC Product Evaluation'
22276,'Delores Joseph',F,28/09/1991,28,01/08/2019,11,116033,98991,17042,14.69,'Release Engineer II..','Storage Engineering'
5132,'Cristopher Morrison',M,27/02/1981,39,09/01/2014,78,335897.5,195457.5,140440,41.81,'Software Engineer.Senior II Lead.','Media Analytics'
19044,'Mara Hanna',F,05/08/1991,28,21/09/2017,33,71371,65741,5630,7.89,'Network Engagement Consultant..','Networks - EMEA Infrastructure'
19574,'Jeffry Salazar',M,26/07/1989,30,30/11/2017,31,147125,103966.25,43158.75,29.33,'Release Engineer.Senior.','IT DevOps'
14530,'Calvin Gonzales',M,22/02/1989,31,25/06/2015,60,137821.25,118261.25,19560,14.19,'Commissions Analyst II..','Finance - Commissions  Marketing'
10418,'Brad Klein',M,05/06/1980,40,19/05/2014,73,219830,185053.75,34776.25,15.82,'Business Systems Analyst.Senior.','Corporate Systems'
10345,'Grover Greene',M,05/12/1980,39,12/05/2014,74,180227.5,116387.5,63840,35.42,'Lead..Account Management','EMEA - AMG'
14344,'Cristobal Page',M,10/04/1984,36,01/06/2015,61,173878.75,148290,25588.75,14.72,'Network Implementation Manager II.Lead.','Networks - APJ Infrastructure'
10031,'Cliff Friedman',M,20/04/1989,31,17/03/2014,75,398453.75,233720,164733.75,41.34,Manager..Engineering,'GSS EPIC Engineering (HC COGS)'
19627,'Abigail Frederick',F,24/01/1991,29,14/12/2017,31,96309,84380,11929,12.39,'Partner Services Manager..','Americas- AMG'
14895,'Aurelio Gregory',M,20/06/1987,33,01/09/2015,58,297365,180161.25,117203.75,39.41,'Software Development Engineer in Test.Senior II.','Storage Engineering'
10008,'Roberta Lowery',F,27/03/1985,35,13/03/2014,76,254223,183164,71059,27.95,'Software Development Engineer in Test.Senior II Lead.','Enterprise Networks'
20726,'Manual Barron',M,24/03/1991,29,23/08/2018,22,110911.25,78397.5,32513.75,29.32,'Contract/Billing Analyst..','Finance - Customer Revenue Operations GA'
10324,'Anderson Rollins',M,08/06/1987,33,08/05/2014,74,177571.25,126540,51031.25,28.74,'Client Service Manager.Senior.','Americas- AMG'
10107,'Eli Glenn',M,21/02/1983,37,03/04/2014,75,214278.75,169476.25,44802.5,20.91,'LMS Administrator.Senior Lead.','Learning  Development'
17861,'Denver Hebert',M,06/12/1991,28,24/04/2017,38,133515,114968.75,18546.25,13.89,'Systems Support Engineer II..','IT DevOps'
17000,'Jeromy Dean',M,08/04/1985,35,05/12/2016,43,292245,219420,72825,24.92,'Systems Administrator.Senior.UNIX','Enterprise Infrastructure Services'
16318,'Benita Bolton',F,15/05/1990,30,27/06/2016,48,122200,105851,16349,13.38,'Platform Operations Engineer II..','Platform Operations'
14257,'Jewel Meza',F,05/12/1987,32,18/05/2015,61,142850,103909,38941,27.26,'Business Operations Analyst.Senior.','Service Delivery Excellence'
18631,'Erik Ramirez',M,21/11/1988,31,20/07/2017,35,128263.75,104993.75,23270,18.14,'Software Development Engineer in Test II..','DPM Engineering'
16164,'Lorenzo Callahan',M,18/11/1991,28,09/06/2016,49,122308.75,87552.5,34756.25,28.42,'Systems Support Engineer II..','IT DevOps'
17380,'Von Ritter',M,13/04/1985,35,23/02/2017,40,291926.25,170351.25,121575,41.65,'Software Engineer.Senior.','Web Performance Engineering'
9417,'Taylor Buckley',M,28/05/1989,31,05/12/2013,79,304435,182342.5,122092.5,40.1,'Software Engineer.Senior II.','Enterprise Applications'
9877,'Josue Jimenez',M,11/12/1978,41,10/02/2014,77,212647.5,169287.5,43360,20.39,'Graphic Designer.Senior Lead.','Learning  Development'
22363,'Rae Diaz',F,20/12/1988,31,19/08/2019,10,111598,96327,15271,13.68,'Solutions Architect..','Service Delivery EMEA'
10007,'Whitney Pham',M,26/07/1981,38,13/03/2014,76,462960,269002.5,193957.5,41.9,'Manager.Senior.Software Development Engineer in Test','Media Experience SQA'
9897,'Sean Arnold',M,05/06/1985,35,13/02/2014,77,179661.25,118531.25,61130,34.03,'Systems Administrator II..','Enterprise Infrastructure Services'
12386,'Paris Allen',M,26/11/1990,29,02/05/2016,50,172840,144507.5,28332.5,16.39,'Platform Operations Engineer II..','Platform Operations'
10138,'Mac Kelley',M,25/04/1989,31,10/04/2014,75,253550,177462.5,76087.5,30.01,'Solutions Architect.Senior.','Service Delivery APJ'
10438,'Leon Hayden',M,29/11/1983,36,23/02/2015,64,146048.75,110180,35868.75,24.56,'Partner Services Manager.Senior.','Americas- AMG'
19354,'Richard Atkinson',M,07/12/1991,28,23/10/2017,32,143910,123905,20005,13.9,'Software Engineer II..','Enterprise Applications'
20647,'Guillermo Barr',M,29/08/1989,30,06/08/2018,23,250695,162907.5,87787.5,35.02,'Software Engineer.Senior.','Enterprise Access Engineering'
